identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
n. gen. Nemegtosaurus n. sp. mongoliensis,species,,Nemegtosaurus_mongoliensis,species,Campanian,Maastrichtian,83.6,66
,,,,,,,,
Titanosaurus australis,species,recombined as,Neuquensaurus_australis,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
n. gen. Nigersaurus n. sp. taqueti,species,,Nigersaurus_taqueti,species,Aptian,Albian,125,100.5
,,,,,,,,
n. gen. Nopcsaspondylus n. sp. alarconensis,species,,Nopcsaspondylus_alarconensis,species,Early Cenomanian,,99.6,93.5
,,,,,,,,
n. gen. Normanniasaurus n. sp. genceyi,species,,Normanniasaurus_genceyi,species,Early Albian,Middle Albian,112.03,105.3
,,,,,,,,
Notocolossus gonzalezparejasi,species,,Notocolossus_gonzalezparejasi,species,Late Coniacian,Early Santonian,89.3,83.5
,,,,,,,,
n. gen. Ohmdenosaurus n. sp. liasicus,species,,Ohmdenosaurus_liasicus,species,Early Toarcian,,183,182
,,,,,,,,
Omeisaurus n. sp. jiaoi,species,,Omeisaurus_jiaoi,species,Bajocian,Callovian,170.3,163.5
,,,,,,,,
n. gen. Omeisaurus n. sp. junghsiensis,species,,Omeisaurus_junghsiensis,species,Middle Jurassic,,174.1,163.5
,,,,,,,,
n. gen. Omeisaurus n. sp. maoianus,species,,Omeisaurus_maoianus,species,Late Jurassic,,163.5,145
,,,,,,,,
Omeisaurus n. sp. tianfuensis,species,,Omeisaurus_tianfuensis,species,Bajocian,Callovian,170.3,163.5
,,,,,,,,
n. gen. Oobardjidama n. sp. foulkesi,species,,Oobardjidama_foulkesi,species,Valanginian,Barremian,139.8,125
,,,,,,,,
n. gen. Opisthocoelicaudia n. sp. skarzynskii,species,,Opisthocoelicaudia_skarzynskii,species,Campanian,Maastrichtian,83.6,66
,,,,,,,,
Oplosaurus n. sp. armatus,species,,Oplosaurus_armatus,species,Valanginian,Barremian,139.8,125
,,,,,,,,
Ornithopsis hulkei,species,,Ornithopsis_hulkei,species,Late Hauterivian,Early Aptian,136.4,122.46
,,,,,,,,
Ornithopsis n. sp. leedsii,species,,Ornithopsis_leedsii,species,Early Callovian,,164.7,161.2
,,,,,,,,
n. gen. Overosaurus n. sp. paradasorum,species,,Overosaurus_paradasorum,species,Santonian,,86.3,83.6
,,,,,,,,
n. gen. Padillasaurus n. sp. leivaensis,species,,Padillasaurus_leivaensis,species,Late Barremian,,130,125.45
,,,,,,,,
n. gen. Pakisaurus n. sp. balochistani,species,,Pakisaurus_balochistani,species,Maastrichtian,,72.1,66
